RootBeer,Overall
Sparky's,99
Gale's,95
Gale's,95
Bulldog,91
Capt'nEli's,90
Sparky's,90
Sparky's,90
Sparky's,90
Sparky's,90
Sprecher,90
Boylan,89
Capt'nEli's,87
Boylan,85
Boylan,85
Bundaberg,85
Capt'nEli's,85
Hank's,85
Hank's,85
Sprecher,85
Sprecher,85
Stewart's,85
Bulldog,80
Capt'nEli's,80
Capt'nEli's,80
Hank's,80
IBC,80
Sparky's,80
Stewart's,80
Stewart's,80
Boylan,75
Capt'nEli's,75
Capt'nEli's,75
Capt'nEli's,75
Hank's,75
Hank's,75
IBC,75
Sprecher,75
Sprecher,75
Sprecher,75
Stewart's,75
Stewart's,75
Bulldog,70
Capt'nEli's,70
Gale's,70
Hank's,70
Hank's,70
IBC,70
IBC,70
IBC,70
Stewart's,70
Gale's,68
Boylan,65
Bulldog,65
Bulldog,65
Bulldog,65
Gale's,65
IBC,65
Sprecher,65
Bundaberg,60
Hank's,60
Hank's,60
Gale's,55
Sparky's,55
Sprecher,55
Boylan,50
Gale's,50
Gale's,50
IBC,50
IBC,50
Stewart's,50
Stewart's,50
Boylan,45
Bundaberg,45
Hank's,45
Boylan,40
Bulldog,40
Bulldog,30
Sprecher,30
Stewart's,25
Boylan,10
IBC,10
Sparky's,10
Bundaberg,5
