BrandID	BrandName	FirstBrewedYear	BreweryName	City	State	Country	Description	CaneSugar	CornSyrup	Honey	ArtificialSweetener	Caffeinated	Alcoholic	AvailableInCans	AvailableInBottles	AvailableInKegs	Website	FacebookPage	Twitter	WholesaleCost	CurrentRetailPrice
10001	A&W	1919	Dr Pepper Snapple Group	Lodi	CA	United States	"After setting up the first A&W Root Beer stand in California in 1919, Roy Allen partnered with Frank Wright to name their beverage A&W. The two partners then set out to open more root beer stands all across the United States."	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	http://www.rootbeer.com/			$0.42	$1.00
10002	A.J. Stephans	1926	AJ Stephans Beverages	Fall River	MA	United States	"AJ Stephans Company makes 
the finest elixirs and mixers in New England"	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	http://www.ajstephans.com/			$0.98	$3.00
10003	Abita	1986	Abita Brewery	Covington	LA	United States	"Abita Root Beer is made with a hot mix process using spring water, herbs, vanilla and yucca (which creates foam). Unlike most soft drink manufacturers, Abita sweetens its root beer with pure Louisiana cane sugar. The resulting taste is reminiscent of soft"	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	https://abita.com/brews/our_brews/abita-root-beer			$1.13	$3.00
10004	Barq's	1898	Coca-Cola	New Orleans	LA	United States	"Since 1898 Barq's root beer has had a simple slogan - DRINK BARQ'S. IT'S GOOD. After more than a century, it's (still) good."	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	http://www.barqs.com/			$0.40	$1.00
10005	Bedfords	1984	Northwest Soda Works	Port Angeles	WA	United States	"Always ice cold, “never with ice”."	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	http://bedfordssodas.com/products.html			$1.10	$3.00
10006	Bulldog	1997	Bulldog Brewing Company	Fresno	CA	United States	"Bulldog Root Beer is different from other national brands of root beer. Here's why:
First, we use only the best ingredients, which means the most expensive ingredients. For example, we use real cane sugar instead of corn syrup, and we use pure vanilla ext"	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	http://www.bulldogrootbeer.com/			$1.02	$3.00
10007	Bundaberg	1960	Bundaberg Brewed Drinks	Bundaberg	QLD	Australia	Savour the taste of the past and the excitement of the future in one magnificent brew (two if you count the equally delicious diet version). Our Root Beer is right at home in the Classic Bundaberg bottle. Bundaberg Root Beer is made to a genuine family re	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	https://www.bundaberg.com/en-us/brew/root-beer/			$1.15	$3.00
10008	Captain Eli's	1996	Shipyard Brewing Company	Portland	ME	United States	 Made In Maine Sweetened with natural cane and brown sugars  Caffeine Free  Handcrafted in small batches	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	http://www.captneli.com/rootbeer.php			$1.09	$3.00
10009	Dad's	1937	The Dad's Root Beer Company 	Chicago	IL	United States	Dad’s originated in Chicago in 1937. This old time favorite quickly found a following around the country and became one of the most iconic names in soda. A tribute to all the Dad’s who made root beer for their families it was also known as “America’s Prem	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	http://www.dadsrootbeer.com/dads/dads.nsf/vwContent/Homepage	https://www.facebook.com/Dads-Old-Fashioned-Root-Beer-and-Cream-Soda-117159998301204/	https://twitter.com/ilovedads	$1.26	$3.00
10010	Dog n Suds	1953	DNS Distributing	Chicago	IL	United States	"The Dog 'n Suds Brand
 …in the early 50’s two school teachers from Champaign, Illinois started a small hot dog & Root Beer stand that rapidly grew thru out the Midwest. Soon there were Dog ‘n Suds Drive-In restaurants from coast to coast. Canada, our neig"	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	http://supplies.dog-n-suds.com/page.php?5	https://www.facebook.com/Dog-N-Suds-Bottled-Root-Beer-117372294947833/		$0.91	$3.00
10011	Dominion	1989	Fordham & Dominion Brewing Company	Dover	DE	United States	"Our Root Beer grew out of original authentic American recipes found at the Library of Congress & has been perfected through many test batches sampled by our friends. Dominion Root Beer has captured an old-fashioned taste that is full-bodied, rich tasting "	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	http://www.fordhamanddominion.com/sodas			$1.30	$3.00
10012	Fitz's	1947	Fitz's	St. Louis	MO	United States	An old-fashioned thick and creamy root beer with plenty of flavors blended together in perfect balance.	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	https://fitzsrootbeer.com/	https://www.facebook.com/fitzsrootbeer		$1.09	$3.00
10013	Sparky's Fresh Draft	2000	Knox Brewery	Pacific Grove	CA	United States	SPARKY'S Fresh Draft Root Beer is a delicous full flavored premium quality root beer resulting from years of homebrewing and perfecting our recipe.	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	http://www.sparkysrootbeer.com/			$1.61	$3.00
10014	Gales	1993	Gale's Bread and Butter	Chicago	IL	United States	"“I love root beer!” While cooking in England some years ago, my root beer sources dried up and I was forced to do without. So I got a little brown terrier puppy and named him Rootie. When Rootie and I got back to the United States I started making my own "	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	http://www.galegand.com/cookbooks-soda/	https://www.facebook.com/Gales-Root-Beer-207365072632626/		$1.00	$3.00
10015	Henry Weinhard's	1914	Henry Weinhard's Brewery	Portland	OR	United States	"This American recipe was originally made by master brewers during Prohibition. Its smooth, rich flavor is second to none!"	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE				$1.14	$3.00
